latitude,longitude,value
36.4701,140.5900,5.5
 2.5460, 95.3738,5.6
 5.2790, 94.2388,5.5
 5.0594, 92.1824,6.7
 8.0690, 93.1308,5.1
 7.2016, 94.2730,5.9
 7.1152, 92.4590,5.4
 3.1452, 95.2772,5.9
 6.2160, 92.4722,6.2
10.4032, 92.2172,5.9
10.3336, 91.4362,5.3
 5.2934, 94.2352,5.8
 5.1938, 94.5010,5.5
10.5436, 91.4770,5.3
41.2744,142.0624,5.1
 4.5556, 95.0648,5.8
 5.3294, 94.3750,5.1
42.2454,145.3108,5.5
 4.1428,152.4302,6.0
 3.0810, 93.5532,5.1
25.3168,176.1794,6.1
10.5604,140.5052,6.7
10.5916,140.4092,5.9
42.5254,145.0044,6.1
33.5622,142.0113,5.8
34.0572,141.2430,5.0
24.3990,122.2892,5.2
33.5800,141.3862,5.0
31.3660,177.5574,5.3
 7.4362,159.2850,6.5
 1.1494,119.5532,5.9
35.4776, 29.3846,5.4
 7.1980, 92.2892,6.2
 8.1500, 94.0228,5.2
 2.4194, 94.3612,6.0
27.2308,141.1281,5.5
 7.5262, 94.0558,5.5
 7.5148, 94.0642,5.2
 5.3066, 94.1836,5.2
 7.5400, 93.5958,5.2
 7.5814, 94.0780,5.1
23.1275,145.2037,6.2
 7.5934, 94.0684,5.0
 3.1950, 93.4200,5.2
 5.3072, 94.1932,5.0
24.2532,175.5976,5.4
41.4584,143.4909,5.9
24.3113,121.3099,5.1
 7.2856,145.0264,5.3
36.4450,142.0281,5.1
 8.0366, 94.0306,5.0
13.5130, 93.3480,5.1
43.3688,147.2766,5.6
 4.3150,153.1122,5.8
 4.4782, 95.0702,5.5
26.3272,144.1338,7.0
23.0582,169.1314,5.7
60.0624,139.2058,5.1
 0.0762, 98.4374,5.9
41.4368, 79.2640,6.2
 4.4536,126.2526,6.0
36.0231,139.5333,5.2
 8.0684, 93.5826,5.7
36.1920, 16.3348,6.1
 4.4212, 95.0936,5.4
 5.4872,150.2886,5.4
23.1355,121.4693,5.2
 5.3372,122.0774,6.3
30.4452, 56.4998,6.5
12.3492,123.1062,5.7
33.0851,137.1273,5.0
10.4974, 91.4632,5.4
 6.1470,150.3960,5.5
 2.5346, 95.4374,5.5
 7.4986, 94.0606,5.1
40.4112,142.3577,6.1
 2.5448, 95.3552,6.7
24.3493,121.4614,5.9
84.5688, 99.2346,6.1
43.0071,144.5160,5.3
27.0690, 61.5346,5.4
27.4422, 73.4956,5.4
 5.2634, 94.2562,5.1
43.2356,146.3445,5.7
 5.3822,102.4512,5.4
44.1402,141.0655,5.1
20.2442,174.2022,5.9
24.3548,122.1370,5.0
33.4435,130.1058,6.6
 7.5670,124.4950,5.5
33.4352,130.1061,5.0
 5.2934, 94.2244,5.7
 4.5364,129.5628,5.8
 2.0510, 97.0648,8.4
 0.1032, 97.0258,5.4
 2.3888, 96.3486,5.9
 1.4638, 97.0570,5.5
 2.5958, 95.2484,6.2
 2.5586, 95.2538,5.7
 1.5184, 97.0414,5.1
18.2688,175.5940,5.7
 1.4206, 97.0714,5.8
78.3642,  6.0588,5.8
 0.2208, 98.1914,5.9
 2.0132, 97.5652,5.9
37.2237,141.4525,5.7
 1.3630, 97.5232,5.3
 1.5370, 97.0066,5.1
 0.3642, 97.2544,5.7
30.2946, 83.3972,6.1
 0.4074, 97.2280,5.8
 0.1290, 97.4386,6.3
23.0864,169.1590,5.4
56.1008,154.3144,5.7
 2.5172, 95.2022,5.4
 1.3864, 99.3642,6.7
 1.4284, 99.4674,6.3
 1.3780, 99.3846,5.0
 1.4662, 99.5604,5.0
35.4361,140.3727,5.5
 2.0450, 96.4974,5.1
 3.2904,145.5454,6.7
 1.5490, 99.5706,5.6
23.3924,175.0414,5.2
15.1476,172.3852,5.0
 1.4872, 97.3972,6.2
 0.1842, 97.3978,5.2
 1.3756, 99.3744,5.1
29.4395,139.3928,6.1
33.4069,130.1729,5.8
33.4072,130.1703,5.3
51.1836,178.2454,5.5
