latitude,longitude,value,damage
40.2328,141.1588,5, 
41.5821,142.4807,5,1
32.4450,130.4852,7,3
32.4653,130.5097,6, 
32.4061,130.4411,5, 
32.4602,130.4964,5, 
32.4204,130.4666,6.5, 
32.4170,130.4515,5.5, 
32.4205,130.4516,5, 
32.4527,130.4578,7,4
32.4519,130.4569,5, 
32.5179,130.5394,6, 
32.5783,131.0521,5.5, 
32.5814,131.0521,5, 
33.0159,131.1146,6.5, 
33.1629,131.2374,5, 
32.4720,130.4643,5, 
32.5082,130.5010,6, 
32.5119,130.4979,5, 
32.4195,130.4320,5, 
33.0012,131.1199,5.5, 
32.3211,130.3812,5.5, 
32.3431,130.3919,5, 
33.1547,131.2208,5.5, 
36.0204,139.5321,5,1
32.2696,130.4085,5, 
41.5691,140.5922,6,1
36.2704,140.3685,5, 
32.4330,130.3703,5,1
27.2575,128.3725,5, 
35.2283,133.5137,6,3
37.2128,141.3625,5,2
36.4321,140.3445,6,2
