latitude,longitude,value
42.3163,140.4889,5
42.3214,140.4976,5
42.3025,140.4968,5
35.4139,140.4479,5
36.4959,135.3378,5
32.4154,130.4572,5
34.1419,139.0969,5
34.1140,139.1161,6
34.1271,139.1383,6
34.2540,139.1451,6
34.1752,139.1049,5.5
34.1244,139.1385,5
34.1206,139.1484,5
34.1324,139.1448,5
36.3176,141.0712,5
34.1580,139.1512,5
34.1129,139.1345,5.5
34.2203,139.1193,5
34.1141,139.1752,5.5
34.1252,139.1231,5
34.0935,139.1919,5
34.0182,139.2412,5.5
33.5827,139.2465,6
34.0122,139.2424,5.5
34.1327,139.1711,5
34.1299,139.1429,5.5
34.1150,139.1504,5
34.1376,139.1515,5
34.1466,139.1412,5.5
34.1427,139.1364,5
34.1420,139.0809,5
34.1393,139.1519,5
34.0977,139.1578,5
34.1209,139.1444,6
34.1768,139.1045,6
34.2290,139.1366,5
34.3099,139.1316,5
29.2373,129.2044,5
29.2474,129.2756,5.5
29.2742,129.2603,5
35.1645,133.2094,6.5
35.1945,133.1948,5
35.2213,133.1864,5
34.1792,136.1929,5
24.2911,123.4524,5
