latitude,longitude,value
39.4044,142.0793,5
33.0199,136.4786,5
33.0825,137.0848,5
35.5933,140.0539,5
24.3616,122.4966,5
37.1755,138.5203,7
37.1876,138.5135,5.5
37.2124,138.5900,5.5
37.2089,138.5190,5.5
37.1518,138.4977,6.5
37.1838,138.5580,6.5
37.1533,138.5647,5
37.1436,138.5447,5
37.1238,138.5181,5.5
37.1302,138.4946,5
37.1774,138.5257,6
37.1784,138.5018,5
37.1470,138.4957,5.5
37.1215,138.5224,5
37.1980,138.5681,5.5
37.1751,139.0200,6
37.2582,138.5494,5.5
37.2376,139.0192,5.5
37.2218,139.0004,5
42.5676,145.1653,5.5
42.5086,145.2057,5.5
44.0460,141.4197,5.5
37.1935,138.5896,5
